item_id,title,description,tags,community,creator_id,creation_date,item_type,price,max_capacity,current_participants,event_date,duration_hours,is_recurring,rating
1,Photography Group in Oakwood Gardens,Join our photography group for an engaging community experience. Camera result product institution college social. Go what there student care. Rate pass impact consumer kind situation trouble.,"photography,painting,gardening,business",Oakwood Gardens,475,2025-07-08T14:56:33.882053,class,0,46,39,2025-09-05T14:56:33.882053,1.0,True,3.9
2,Composting Group in Maple Grove,Join our composting group for an engaging community experience. Everything fire staff even water. Success against pattern manager opportunity may. Yourself order outside.,"composting,cycling",Maple Grove,11,2025-06-17T14:56:33.882053,service,34,25,4,2025-09-26T14:56:33.882053,3.0,True,
3,Writing Group in Cedar Creek,Join our writing group for an engaging community experience. Task main eat condition fall ahead our trip. Throughout exist cut thing difference. Fine hot leg great cut.,"writing,entrepreneurship",Cedar Creek,2,2025-08-03T14:56:33.883050,class,0,45,39,2025-08-26T14:56:33.883050,2.0,False,4.2
4,Business Group in Maple Grove,Join our business group for an engaging community experience. Left spring only send partner policy idea discussion. Traditional education throw. Body authority body cup push remember.,"business,nature walks,wine tasting",Maple Grove,120,2025-06-21T14:56:33.883050,workshop,0,50,3,2025-09-09T14:56:33.883050,2.0,False,4.3
5,Volleyball Group in Maple Grove,Join our volleyball group for an engaging community experience. Increase customer explain purpose put public sound magazine. Truth not shoulder interesting popular. Car live fly know machine them house.,"volleyball,running,food tasting,baking",Maple Grove,234,2025-07-18T14:56:33.883050,workshop,28,17,12,2025-09-03T14:56:33.883050,2.0,False,3.8
6,Pet Training Group in Lakeside Manor,Join our pet training group for an engaging community experience. Another attorney sea. History west happen debate way third understand. Million thus land despite.,"pet training,art",Lakeside Manor,51,2025-07-20T14:56:33.883050,event,33,23,1,2025-10-04T14:56:33.883050,2.0,False,3.6
7,Coding Group in Maple Grove,Join our coding group for an engaging community experience. Bank responsibility special dark. Value try individual a.,"coding,composting,outdoor adventures",Maple Grove,484,2025-06-18T14:56:33.883050,workshop,0,20,7,2025-10-14T14:56:33.883050,2.5,False,
8,Soccer Group in Oakwood Gardens,Join our soccer group for an engaging community experience. Reason live charge thing why.,"soccer,language learning,writing,art",Oakwood Gardens,469,2025-07-28T14:56:33.883050,meetup,0,42,21,2025-10-05T14:56:33.883050,2.5,False,
9,Community Service Group in Lakeside Manor,Join our community service group for an engaging community experience. Dog piece court set series play usually. Ok hair task develop simply least.,"community service,child care,gardening",Lakeside Manor,382,2025-07-17T14:56:33.883050,workshop,0,35,33,2025-09-14T14:56:33.883050,2.0,False,
10,Technology Group in Riverside Park,Join our technology group for an engaging community experience. Season cup and left into I eight. Word chair end light vote city. Summer bank help also heavy option operation.,"technology,food tasting,parenting,volleyball",Riverside Park,422,2025-07-28T14:56:33.883050,group,0,47,41,2025-09-24T14:56:33.883050,3.0,True,4.6
11,Volunteer Work Group in Cedar Creek,Join our volunteer work group for an engaging community experience. Major would bit reveal class probably. He fear good campaign really operation at.,"volunteer work,book club,wine tasting,pet grooming",Cedar Creek,306,2025-07-24T14:56:33.883050,class,12,12,9,2025-10-08T14:56:33.883050,2.5,True,3.7
